bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
3.0,5.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b779df7634b3ccd76162dd098514b0ca-p_e.jpg,False,True,False,False,False,False,False,44.92559,"{'is_FSBA': True, 'is_openHouse': True}",3750.0,-93.081154,sqft,8712.0,,Sun. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1739134800000, 'open_house_start': 1739127600000}]}",495000.0,,495000.0,,3233,False,MN,673 Robert St S,488400.0,448972000,,497100,55107,2057662
2.0,3.0,Saint Paul,USA,USD,1738742400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6797025d0455c903493668f258da4ef4-p_e.jpg,False,True,False,False,False,False,False,44.940285,{'is_FSBA': True},3520.0,-93.13985,sqft,6098.4,,,,490000.0,1200,490000.0,,2170,False,MN,941 Grand Ave,538200.0,6387015000,,485000,55105,2035788
3.0,3.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a92e8f13b746e5e6c310e492c4bed102-p_e.jpg,False,True,False,False,False,False,False,44.932697,{'is_FSBA': True},2610.0,-93.168396,sqft,5227.2,,,,475000.0,,475000.0,,2592,False,MN,1611 Stanford Ave,373600.0,2694236000,,476400,55105,2061390
4.0,5.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5e010202cbe0c2aed25fd0deaca6aa55-p_e.jpg,False,True,False,False,False,False,False,44.921608,{'is_FSBA': True},3612.0,-93.01451,acres,0.33999999999999997,,,,499900.0,,499900.0,,3288,False,MN,2032 Oakridge St,469400.0,783830000,,498700,55119,2070152
3.0,4.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/517bae73095d9a4d44bb2728fc1eb607-p_e.jpg,False,True,False,False,False,False,False,44.93649,{'is_FSBA': True},2315.0,-93.14283,sqft,6098.4,,,,500000.0,,500000.0,,,False,MN,1010 Fairmount Ave,421700.0,965947000,,,55105,2035952
3.0,4.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5e49c274e026b8083ad28296c8e5831d-p_e.jpg,False,True,False,False,False,False,False,44.988503,{'is_FSBA': True},3104.0,-93.134636,sqft,9147.6,,,,469000.0,,469000.0,,2511,False,MN,827 Hoyt Ave W,281200.0,290574000,,467300,55117,2114844
2.0,4.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/94cad59d935a8cdd34062f75eec740ec-p_e.jpg,False,True,False,False,False,False,False,44.92724,{'is_comingSoon': True},3101.0,-93.17326,sqft,5227.2,,,,475000.0,,475000.0,,,False,MN,1725 Randolph Ave,408500.0,1486105000,,,55105,2061927
2.0,5.0,Saint Paul,USA,USD,1729494000000,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/e3015e94734a85b031b340e964ed9599-p_e.jpg,False,True,False,False,False,False,False,44.901405,{'is_FSBA': True},2907.0,-93.17444,sqft,0.14,,,,450000.0,-9000,450000.0,,,False,MN,1748 Sheridan Ave,399800.0,13506740000,,,55116,2104134
2.0,4.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/261aeffbfd707aad75021f36ab2fb823-p_e.jpg,False,True,False,False,False,False,False,44.934387,{'is_FSBA': True},3832.0,-93.140884,sqft,5662.8,,,,499900.0,,499900.0,,2225,False,MN,969 Saint Clair Ave,421800.0,871447000,,495700,55105,2036260
2.0,3.0,Saint Paul,USA,USD,1737100800000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/d0a7f789b59883a37ce4dd3d668247d0-p_e.jpg,False,True,False,False,False,False,False,44.94411,{'is_FSBA': True},3191.0,-93.123055,sqft,2613.6,,,,499900.0,-10000,499900.0,"$10,000 (Jan 17)",,False,MN,546 Ashland Ave,,13567640000,,,55102,2129642842
3.0,2.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/f32412e43903771f247243c87f2841cf-p_e.jpg,False,True,False,False,False,False,False,44.94964,{'is_FSBA': True},1600.0,-93.08208,sqft,2178.0,,,,450000.0,,450000.0,,2239,False,MN,353 Kellogg Blvd E #6,349600.0,813550000,# 6,446700,55101,64469002
4.0,6.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/0b404976a3eed7111e1d22b5d017149d-p_e.jpg,False,True,False,False,False,False,False,44.97046,{'is_newHome': True},834.0,-93.10984,sqft,4356.0,NEW_CONSTRUCTION_TYPE_OTHER,,,450000.0,,450000.0,,,False,MN,965/967 Marion St,,5195902000,,449400,55117,443242004
2.0,2.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/21beb0bd36ed17ff708e812dc0b64e86-p_e.jpg,False,True,False,False,False,False,False,44.94116,{'is_FSBA': True},2271.0,-93.10113,acres,0.5700000000000001,,,,475000.0,,475000.0,,,False,MN,223 Eagle Pkwy #1,529700.0,2595834000,# 1,,55101,81752156
3.0,5.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/19daaf0b5dbdf8c645a1202b85ea78c6-p_e.jpg,False,True,False,False,False,False,False,44.979004,{'is_newHome': True},2780.0,-93.07279,sqft,8712.0,BUILDER_SPEC,,,475000.0,,475000.0,,3704,False,MN,654 Orange Ave E,270000.0,1285415000,,475000,55106,2101603
2.0,6.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/3293e770b0c62955b07e818b5856f76c-p_e.jpg,False,True,False,False,False,False,False,44.981667,{'is_FSBA': True},3528.0,-93.04019,sqft,9147.6,,,,450000.0,,450000.0,,,False,MN,1338 Birmingham St,448200.0,5883911000,,,55106,2108563
4.0,6.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/4626895d51845c7591557156a3dc550b-p_e.jpg,False,True,False,False,False,False,False,44.956894,{'is_newHome': True},2500.0,-93.06055,sqft,5227.2,NEW_CONSTRUCTION_TYPE_OTHER,,,499000.0,,499000.0,,,False,MN,941 3rd St E,31100.0,1997280000,,,55106,248699154
4.0,6.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/0349b4bcb6537082d61e4ee2e9c3422d-p_e.jpg,False,True,False,False,False,False,False,44.9732,{'is_FSBA': True},834.0,-93.07136,sqft,5227.2,,,,450000.0,,450000.0,,2076,False,MN,695 Cook Ave E,25000.0,9367803000,,449900,55106,2136874
2.0,2.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/184a78ac51c16647db2fffd60560d519-p_e.jpg,False,True,False,False,False,False,False,44.93971,{'is_FSBA': True},1278.0,-93.09999,sqft,0.03,,,,459900.0,,459900.0,,,False,MN,240 Spring St UNIT 214,,983653000,Unit 214,459600,55102,446253324
2.0,2.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/2352d772ac810b9cc6f76669b58587af-p_e.jpg,False,True,False,False,False,False,False,44.95066,{'is_FSBA': True},1306.0,-93.08779,sqft,1742.4,,,,459900.0,,459900.0,,1920,False,MN,406 Wacouta St UNIT 107,305000.0,10452025000,Unit 107,456500,55101,81751410
3.0,2.0,Saint Paul,USA,USD,1729666800000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/88b1ae9f8655fb57aa6b63588a615f7c-p_e.jpg,False,True,False,False,False,False,False,44.93846,{'is_FSBA': True},2070.0,-93.10206,,,,,,485000.0,-35000,485000.0,,3647,False,MN,290 Spring St,419400.0,13654636000,,483300,55102,81750490
2.0,9.0,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/8489b1690e324a5ab5bdb96a39fbc01e-p_e.jpg,False,True,False,False,False,False,False,44.962128,{'is_FSBA': True},2802.0,-93.11574,sqft,6098.4,,,,499000.0,,499000.0,,1743,False,MN,690 Western Ave N,340400.0,1474141000,,496300,55103,2161324
,,Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/ac48d41b5c472ac0241680833fb4d253-p_e.jpg,False,True,False,False,False,False,False,44.92633,{'is_FSBA': True},,-93.187775,sqft,8712.0,,,,450000.0,,450000.0,,1506,False,MN,507 Cleveland Ave S,156500.0,2181816000,,,55116,2059153
